event_id,timestamp,firewall_name,action,direction,protocol,source_ip,source_port,destination_ip,destination_port,bytes_sent,bytes_received,duration_sec,country,alert_flag,rule_triggered
FW-202187,2026-05-01 00:41:26,FW-BRANCH-04,Block,Inbound,HTTP,103.35.62.67,39679,192.168.2.158,143,443,0,0,Germany,None,BLOCK_INBOUND_DEFAULT
FW-200438,2026-05-01 00:52:32,FW-DMZ-03,Allow,Outbound,HTTP,192.168.3.130,3585,103.197.206.99,53,49212,135263,231,USA,None,ALLOW_OUTBOUND_WEB
FW-202115,2026-05-01 01:18:36,FW-CORE-01,Allow,Outbound,HTTPS,192.168.1.85,62719,45.33.32.156,21,11574070,418,187,China,Possible_Data_Exfiltration,ALERT_LARGE_OUTBOUND
FW-202295,2026-05-01 01:36:54,FW-DMZ-03,Block,Inbound,DNS,103.178.168.25,28479,192.168.4.129,3306,72,0,0,Germany,None,BLOCK_INBOUND_DEFAULT
FW-200602,2026-05-01 01:53:12,FW-CORE-01,Allow,Outbound,DNS,192.168.1.242,53179,103.121.53.58,8080,26152,145845,66,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200373,2026-05-01 03:08:31,FW-BRANCH-04,Allow,Outbound,TCP,192.168.1.66,59188,103.136.15.213,8080,24091,114560,236,India,None,ALLOW_OUTBOUND_WEB
FW-200906,2026-05-01 04:38:43,FW-CORE-01,Allow,Outbound,HTTPS,192.168.4.46,63793,103.156.136.64,80,39282,174535,26,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200560,2026-05-01 06:37:39,FW-CORE-01,Allow,Outbound,HTTP,192.168.3.2,64156,103.113.153.181,443,22622,195492,164,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200977,2026-05-01 08:04:07,FW-BRANCH-04,Allow,Outbound,HTTPS,192.168.4.50,16451,103.191.85.218,8080,8931,82927,227,India,None,ALLOW_OUTBOUND_WEB
FW-200700,2026-05-01 09:02:04,FW-BRANCH-04,Allow,Outbound,HTTPS,192.168.5.143,23474,103.119.212.21,53,38119,114957,149,India,None,ALLOW_OUTBOUND_WEB
FW-202003,2026-05-01 09:50:40,FW-DMZ-03,Block,Inbound,TCP,45.33.32.156,58387,192.168.1.242,22,112,43,5,Russia,SSH_BruteForce,ALERT_SSH_BRUTEFORCE
FW-200281,2026-05-01 10:31:41,FW-EDGE-02,Allow,Outbound,HTTP,192.168.2.245,20247,103.23.42.43,53,34772,22190,174,UK,None,ALLOW_OUTBOUND_WEB
FW-200696,2026-05-01 11:32:38,FW-BRANCH-04,Allow,Outbound,HTTPS,192.168.2.62,19209,103.120.30.222,53,2883,140962,269,Singapore,None,ALLOW_OUTBOUND_WEB
FW-201704,2026-05-01 12:05:38,FW-EDGE-02,Block,Inbound,UDP,198.199.119.148,39104,192.168.3.163,5432,44,0,0,Russia,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-201976,2026-05-01 13:18:46,FW-DMZ-03,Block,Inbound,TCP,198.199.119.148,1935,192.168.5.215,22,69,166,3,Romania,SSH_BruteForce,ALERT_SSH_BRUTEFORCE
FW-200781,2026-05-01 14:00:55,FW-CORE-01,Allow,Outbound,HTTP,192.168.1.66,29272,103.50.19.21,80,46610,103434,212,UK,None,ALLOW_OUTBOUND_WEB
FW-202199,2026-05-01 14:58:19,FW-EDGE-02,Block,Inbound,HTTPS,103.23.25.148,53782,192.168.2.62,3389,145,0,0,Germany,None,BLOCK_INBOUND_DEFAULT
FW-200497,2026-05-01 15:11:34,FW-BRANCH-04,Allow,Outbound,DNS,192.168.3.171,43271,103.193.107.148,53,49553,127458,78,UK,None,ALLOW_OUTBOUND_WEB
FW-201792,2026-05-01 15:57:21,FW-CORE-01,Block,Inbound,TCP,45.33.32.156,50754,192.168.4.46,5432,163,0,0,North Korea,Blocked_Suspicious_IP,BLOCK_BLACKLIST_IP
FW-200266,2026-05-01 16:29:49,FW-DMZ-03,Allow,Outbound,TCP,192.168.3.144,44382,103.39.7.13,80,44529,15540,32,Singapore,None,ALLOW_OUTBOUND_WEB
FW-201164,2026-05-01 16:38:11,FW-DMZ-03,Allow,Outbound,TCP,192.168.4.210,15576,103.52.179.144,53,35457,133962,22,Singapore,None,ALLOW_OUTBOUND_WEB
FW-202204,2026-05-01 16:47:11,FW-BRANCH-04,Block,Inbound,UDP,103.162.11.191,61853,192.168.4.210,21,97,0,0,Germany,None,BLOCK_INBOUND_DEFAULT
FW-200141,2026-05-01 17:48:06,FW-BRANCH-04,Allow,Outbound,HTTP,192.168.5.32,11804,103.154.107.126,8080,42581,115996,263,Singapore,None,ALLOW_OUTBOUND_WEB
FW-200415,2026-05-01 19:22:23,FW-BRANCH-04,Allow,Outbound,TCP,192.168.2.144,43663,103.54.198.215,53,23010,176152,33,USA,None,ALLOW_OUTBOUND_WEB
FW-202236,2026-05-01 20:16:04,FW-DMZ-03,Block,Inbound,DNS,103.191.85.218,56867,192.168.2.62,443,305,0,0,Japan,None,BLOCK_INBOUND_DEFAULT
FW-201159,2026-05-01 20:41:07,FW-BRANCH-04,Allow,Outbound,HTTP,192.168.2.31,42686,103.125.235.91,80,20220,10540,235,USA,None,ALLOW_OUTBOUND_WEB
